"","UC_START","UC_END","TYPE","ENSEMBL_GENE_ID","CHR","GENE_STRAND","GENE_START","GENE_END","logFC","AveExpr","t","P.Value","adj.P.Val"
"uc.79-","144439611","144439904","p","ENSG00000169554","2","-","144364364","144524583","2.5525064","11.981420","9.823287","7.115064e-16","2.463834e-14"
"uc.80-","144443286","144443578","n","ENSG00000169554","2","-","144364364","144524583","2.9443712","11.616532","9.805349","7.905349e-16","2.463834e-14"
"uc.287+"," 75736186"," 75736441","p","ENSG00000148655","10","+"," 75431453"," 76560167","2.3412317"," 9.937015","7.870569","7.409012e-12","1.154571e-10"
"uc.231-","115942064","115942286","n","ENSG00000105967","7","-","115935148","116159896","2.2702865","10.330911","7.791602","1.069693e-11","1.409101e-10"
"uc.22-"," 50540560"," 50540866","n","ENSG00000185104","1","-"," 50437028"," 50960263","1.5059249","11.532959","6.671410","1.811077e-09","1.472484e-08"
"uc.35-"," 97536727"," 97536930","p","ENSG00000188641","1","-"," 97077743"," 97921049","1.9684987","10.137024","6.577588","2.883657e-09","2.246849e-08"
"uc.69+","143354542","143354841","n","ENSG00000228655","2","-","143295421","143480789","1.4949339","12.890110","5.746274","1.108977e-07","7.406380e-07"
"uc.103-","174104945","174105176","p","ENSG00000138430","2","-","174072447","174248698","1.3163758","11.581286","5.555381","2.474293e-07","1.542309e-06"
"uc.76-","144403567","144403900","n","ENSG00000169554","2","-","144364364","144524583","1.6578797","11.694721","5.464767","3.753561e-07","2.264245e-06"
"uc.133+","158308690","158308965","n","ENSG00000174891","3","+","158105855","158545730","1.2132171","11.141698","5.014678","2.344305e-06","1.211600e-05"
"uc.43-","243732734","243732989","n","ENSG00000232184","1","-","243702857","243740821","1.8278486","10.722072","4.891598","4.052233e-06","1.994125e-05"
"uc.106-","174160696","174160900","p","ENSG00000138430","2","-","174072447","174248698","0.9646147","11.396353","4.203871","5.416588e-05","2.161530e-04"
"uc.161-"," 78062706"," 78062982","p","ENSG00000132842","5","-"," 78000525"," 78294755","0.9359647","12.063028","4.147401","6.652622e-05","2.568813e-04"
"uc.78-","144430788","144431034","n","ENSG00000169554","2","-","144364364","144524583","0.9023054","12.265547","3.997435","1.146363e-04","4.044713e-04"
"uc.424-"," 25187816"," 25188029","p","ENSG00000198795","18","-"," 25061926"," 25352190","1.2018906"," 9.279606","3.804877","2.356251e-04","8.145096e-04"
"uc.139-","  4521714","  4522050","p","ENSG00000168818","4","-","  4415742","  4542346","0.8080133","11.829884","3.776207","2.484836e-04","8.297577e-04"
"uc.134+","158528116","158528325","p","ENSG00000174891","3","+","158105855","158545730","0.8421062","11.008568","3.521330","5.993882e-04","1.899326e-03"
"uc.440+"," 74651410"," 74651737","n","ENSG00000215421","18","+"," 74597870"," 75065671","0.6544557","12.689540","3.506077","6.094096e-04","1.899326e-03"
"uc.70+","143679771","143680006","p","ENSG00000257277","2","-","143676165","143741294","0.9394225","11.089924","3.503118","6.453132e-04","1.978255e-03"
"uc.276+","125843534","125843964","p","ENSG00000167081","9","+","125747345","125967377","0.7453143","12.559337","3.416288","8.371470e-04","2.524943e-03"
"uc.464+"," 24898042"," 24898810","n","ENSG00000101868","X","+"," 24693919"," 24996986","0.8070130","11.610125","3.329682","1.122442e-03","3.331693e-03"
"uc.483-"," 17551238"," 17551638","p","ENSG00000131374","3","-"," 17157162"," 18444817","0.7068511","12.676951","3.165672","1.864983e-03","5.205252e-03"
"uc.423-"," 25176392"," 25176613","n","ENSG00000198795","18","-"," 25061926"," 25352190","0.9778545"," 9.266110","3.133148","2.137646e-03","5.878528e-03"
"uc.89+","161382163","161382468","p","ENSG00000115233","2","+","161308038","161411717","0.5980079","12.533484","3.098556","2.250460e-03","6.099074e-03"
"uc.307+","101484227","101484457","p","ENSG00000166167","10","+","101354033","101557321","0.5983777","12.296926","3.026780","2.809013e-03","7.504077e-03"
"uc.84-","156338195","156338402","p","ENSG00000153234","2","-","156324432","156342348","0.9848371","10.068844","3.027382","2.960665e-03","7.797808e-03"
"uc.408-"," 72787147"," 72787397","e","ENSG00000259768","16","+"," 72665170"," 72791624","0.8746190","10.691238","2.996231","3.219057e-03","8.360607e-03"
"uc.439+"," 74651076"," 74651337","n","ENSG00000215421","18","+"," 74597870"," 75065671","0.6176672","12.293195","2.971466","3.338149e-03","8.439441e-03"
"uc.257+"," 37215208"," 37215470","n","ENSG00000147905","9","+"," 37120539"," 37358149","0.6149634","14.100872","2.959360","3.460556e-03","8.628321e-03"
"uc.277+","125845432","125845706","p","ENSG00000167081","9","+","125747345","125967377","0.6661349","12.115087","2.867490","4.596171e-03","1.116213e-02"
"uc.278+","125883887","125884122","p","ENSG00000167081","9","+","125747345","125967377","0.6365059","11.563059","2.839672","4.961995e-03","1.189606e-02"
"uc.274+","125759593","125759918","p","ENSG00000167081","9","+","125747345","125967377","0.6678948","12.542200","2.740996","6.640652e-03","1.514393e-02"
"uc.269-","123775659","123775874","n","ENSG00000119522","9","-","123379654","123930152","0.7326998","10.876959","2.572571","1.074076e-02","2.391099e-02"
"uc.132+","158308371","158308577","n","ENSG00000174891","3","+","158105855","158545730","0.6489270","10.641111","2.557301","1.107209e-02","2.407535e-02"
"uc.131+","158272252","158272457","n","ENSG00000174891","3","+","158105855","158545730","0.5196016","11.546943","2.523252","1.186015e-02","2.549252e-02"
"uc.273+","125755320","125755639","p","ENSG00000167081","9","+","125747345","125967377","0.6067367","12.660857","2.476597","1.368408e-02","2.875195e-02"
"uc.64+"," 62966957"," 62967200","p","ENSG00000115504","2","+"," 62673851"," 63046487","0.7627951","10.736113","2.467478","1.431387e-02","2.974104e-02"
"uc.281-","132620139","132620375","p","ENSG00000125485","9","-","132592997","132670401","0.6065327","11.864675","2.444178","1.492014e-02","3.032680e-02"
"uc.372-"," 35573830"," 35574105","n","ENSG00000174373","14","-"," 35538352"," 35809304","0.6728998","10.532133","2.437278","1.534419e-02","3.085338e-02"
"uc.441+"," 74856637"," 74856883","p","ENSG00000215421","18","+"," 74597870"," 75065671","0.6664768","10.658966","2.394853","1.714134e-02","3.410033e-02"
"uc.460+"," 24805395"," 24805668","p","ENSG00000101868","X","+"," 24693919"," 24996986","0.5246388","11.856850","2.310278","2.085909e-02","4.021289e-02"
"uc.388+"," 57133328"," 57133624","n","ENSG00000140262","15","+"," 56918623"," 57299281","0.4943452","12.164171","2.273987","2.274309e-02","4.301588e-02"
"uc.279+","125910281","125910615","n","ENSG00000167081","9","+","125747345","125967377","0.6832950","10.711838","2.285306","2.277311e-02","4.301588e-02"
