"","UC_START","UC_END","TYPE","ENSEMBL_GENE_ID","CHR","GENE_STRAND","GENE_START","GENE_END","logFC","AveExpr","t","P.Value","adj.P.Val"
"uc.167-"," 88883808"," 88884007","n","ENSG00000248309","5","+"," 88883328"," 89466398","-3.9171182"," 9.492238","-14.298252","1.469204e-24","2.629875e-22"
"uc.458+"," 35752446"," 35752648","e","ENSG00000100320","22","-"," 35738736"," 36028425","-3.8789430"," 9.372473","-13.022139","3.790688e-22","3.392666e-20"
"uc.258-"," 37324428"," 37324627","p","ENSG00000147905","9","+"," 37120539"," 37358149","-3.0969475"," 8.944025","-11.331835","7.646550e-19","4.562441e-17"
"uc.264-"," 83975578"," 83975843","e","ENSG00000235298","9","+"," 83972233"," 83975777","-1.5488317","14.570376"," -9.453668","4.373568e-15","1.565737e-13"
"uc.263-"," 83975370"," 83975575","e","ENSG00000235298","9","+"," 83972233"," 83975777","-1.4908409","17.876906"," -8.944720","4.799848e-14","1.227390e-12"
"uc.78+","144430788","144431034","n","ENSG00000169554","2","-","144364364","144524583","-2.4795938"," 8.707489"," -8.869696","7.469013e-14","1.671192e-12"
"uc.2-"," 10672487"," 10672692","n","ENSG00000130940","1","-"," 10636604"," 10796650","-2.2604952"," 8.816283"," -8.446922","5.404990e-13","1.074993e-11"
"uc.186+","179619197","179619500","e","ENSG00000169045","5","-","179614178","179634784","-2.8777393","10.853840"," -7.979645","5.001445e-12","8.952587e-11"
"uc.3-"," 10691109"," 10691332","p","ENSG00000130940","1","-"," 10636604"," 10796650","-2.8819193","10.141454"," -7.929174","6.334279e-12","1.030760e-10"
"uc.88-","161238532","161238842","n","ENSG00000235724","2","-","161222785","161308303","-2.3935579"," 8.946257"," -7.798071","1.142727e-11","1.704568e-10"
"uc.418+"," 58004868"," 58005083","e","ENSG00000266086","17","-"," 57989038"," 58005253","-2.7854255","10.689645"," -7.551948","3.660195e-11","5.012186e-10"
"uc.443-","  8462386","  8462623","e","ENSG00000099783","19","+","  8444767","  8489114","-2.5155816"," 9.316167"," -7.534634","3.920146e-11","5.012186e-10"
"uc.420+"," 64500654"," 64500885","e","ENSG00000108654","17","-"," 64499616"," 64508199","-2.2324269"," 9.246661"," -7.348722","9.138739e-11","1.090556e-09"
"uc.12-"," 35184627"," 35184826","p","ENSG00000116560","1","-"," 35176378"," 35193148","-1.0556182","16.055321"," -7.261111","1.202203e-10","1.344965e-09"
"uc.138+","185931509","185931926","e","ENSG00000136527","3","-","185915906","185938136","-2.1659857","10.723968"," -7.256463","1.393776e-10","1.386033e-09"
"uc.50+"," 38749160"," 38749380","e","ENSG00000115875","2","-"," 38743599"," 38751494","-1.8313913"," 8.733933"," -6.924257","6.258029e-10","5.600936e-09"
"uc.88+","161238532","161238842","n","ENSG00000235724","2","-","161222785","161308303","-2.1320170"," 8.891906"," -6.830351","9.799805e-10","8.353167e-09"
"uc.212-"," 27102320"," 27102523","p","ENSG00000105996","7","-"," 27100354"," 27102811","-2.0806483"," 8.734483"," -6.783849","1.206881e-09","9.819626e-09"
"uc.167+"," 88883808"," 88884007","n","ENSG00000248309","5","+"," 88883328"," 89466398","-1.9119650","12.556820"," -6.377334","7.448034e-09","5.554992e-08"
"uc.251+"," 15874312"," 15874523","n","ENSG00000164989","9","+"," 15553086"," 16061663","-2.0225379"," 9.673231"," -6.007490","3.844386e-08","2.646712e-07"
"uc.49+"," 33588343"," 33588548","e","ENSG00000119812","2","-"," 33583658"," 33599382","-1.4860954"," 8.661376"," -5.427629","4.465386e-07","2.664347e-06"
"uc.413+"," 39410267"," 39410537","e","ENSG00000125686","17","-"," 39404285"," 39451286","-1.4623507"," 8.518127"," -5.400502","4.994282e-07","2.883795e-06"
"uc.258+"," 37324428"," 37324627","p","ENSG00000147905","9","+"," 37120539"," 37358149","-1.0754756","13.090211"," -5.240403","9.314943e-07","5.052651e-06"
"uc.111+","  9429778","  9430072","p","ENSG00000168137","3","+","  9397615","  9479240","-0.8354175","15.404081"," -5.087614","1.674076e-06","8.813516e-06"
"uc.419+"," 58005355"," 58005642","e","ENSG00000136450","17","-"," 58003360"," 58007346","-1.5478390"," 9.205722"," -5.090603","1.817710e-06","9.218626e-06"
"uc.209+"," 23522270"," 23522518","e","ENSG00000164548","7","-"," 23504780"," 23532041","-1.4022385"," 8.562459"," -5.082798","1.854025e-06","9.218626e-06"
"uc.174-","139307966","139308224","e","ENSG00000015479","5","+","139293648","139331677","-1.7041461"," 9.128595"," -4.986799","2.802542e-06","1.320145e-05"
"uc.175-","158914831","158915079","n","ENSG00000164330","5","-","158695916","159099761","-1.3979917","13.016763"," -4.865568","4.463939e-06","2.048834e-05"
"uc.61+"," 60460439"," 60460763","e","ENSG00000119866","2","-"," 60451167"," 60553567","-1.3591889"," 8.642223"," -4.807086","5.618459e-06","2.514260e-05"
"uc.268-","122844550","122844799","p","ENSG00000056586","9","-","122844556","122905341","-1.1099473","14.303125"," -4.559642","1.447705e-05","6.169979e-05"
"uc.97+","171966111","171966551","e","ENSG00000115840","2","-","171784370","171999859","-0.9616921","15.154899"," -4.379847","2.830726e-05","1.173740e-04"
"uc.393-"," 74621902"," 74622175","e","ENSG00000179335","15","+"," 74598500"," 74645414","-1.5534262"," 9.426319"," -4.389999","2.885172e-05","1.173740e-04"
"uc.212+"," 27102320"," 27102523","p","ENSG00000105996","7","-"," 27100354"," 27102811","-1.3503568"," 8.645612"," -4.372788","3.035570e-05","1.207482e-04"
"uc.36+","108697807","108698069","p","ENSG00000134186","1","+","108692323","108701803","-0.7363029","14.619155"," -4.164733","6.088858e-05","2.318948e-04"
"uc.435+"," 55422701"," 55422926","n","ENSG00000196628","18","-"," 55222331"," 55664787","-0.9152210"," 8.700453"," -3.421846","8.482067e-04","2.760527e-03"
"uc.213-"," 27143514"," 27143713","e","ENSG00000254369","7","+"," 27129977"," 27155928","-1.1763489","10.848984"," -3.373682","1.017318e-03","3.251783e-03"
"uc.208+"," 23522052"," 23522268","e","ENSG00000164548","7","-"," 23504780"," 23532041","-1.2361587"," 9.150502"," -3.339771","1.139993e-03","3.579977e-03"
"uc.428+"," 32773247"," 32773484","p","ENSG00000228835","18","+"," 32769795"," 32774413","-1.2032572","10.793059"," -3.270537","1.419957e-03","4.308005e-03"
"uc.473-"," 71153375"," 71153595","e","ENSG00000196338","X","+"," 71144831"," 71171201","-0.9922383"," 9.828958"," -3.212769","1.676835e-03","5.002559e-03"
"uc.339-"," 53677313"," 53677563","p","ENSG00000135390","12","-"," 53632726"," 53677408","-0.9585999"," 8.674093"," -3.193217","1.777480e-03","5.189850e-03"
"uc.362+"," 28879547"," 28879784","p","ENSG00000258038","14","+"," 28830244"," 28968400","-1.2275488"," 8.769354"," -3.196365","1.797602e-03","5.189850e-03"
"uc.239-"," 59029815"," 59030113","p","ENSG00000198846","8","-"," 58805418"," 59119208","-1.0278250","13.212951"," -3.012143","3.125292e-03","8.398788e-03"
"uc.102+","174081682","174082018","e","ENSG00000138430","2","-","174072447","174248698","-0.9113597"," 8.905578"," -3.006748","3.143680e-03","8.398788e-03"
"uc.240+"," 64579983"," 64580187","p","ENSG00000254102","8","-"," 64574306"," 64581888","-0.8066151"," 8.603145"," -2.802839","5.682043e-03","1.374440e-02"
"uc.382+"," 35626712"," 35626910","n","ENSG00000248079","15","+"," 35546195"," 35859001","-0.8416698"," 8.822768"," -2.767873","6.307807e-03","1.447561e-02"
"uc.190+"," 41555703"," 41555901","n","ENSG00000137166","6","+"," 41546426"," 41602384","-0.8817827","10.865646"," -2.717758","7.303838e-03","1.614058e-02"
"uc.178+","170990995","170991242","n","ENSG00000204764","5","+","170861870","171300015","-0.7764210"," 8.762330"," -2.589174","1.034134e-02","2.230240e-02"
"uc.171-"," 94240143"," 94240349","n","ENSG00000185261","5","-"," 94152966"," 94618597","-0.7933352"," 8.841034"," -2.580442","1.061103e-02","2.261160e-02"
"uc.15+"," 38095405"," 38095636","n","ENSG00000224592","1","+"," 38047314"," 38119025","-0.9144388"," 9.239656"," -2.493182","1.357861e-02","2.793760e-02"
"uc.317+","129648075","129648291","n","ENSG00000170430","10","+","129467184","129768007","-0.8782242","10.783785"," -2.302796","2.221756e-02","4.370267e-02"
