"","UC_START","UC_END","TYPE","ENSEMBL_GENE_ID","CHR","GENE_STRAND","GENE_START","GENE_END","logFC","AveExpr","t","P.Value","adj.P.Val"
"uc.458+"," 35752446"," 35752648","e","ENSG00000100320","22","-"," 35738736"," 36028425","-3.5457736"," 9.370562","-11.517478","2.616311e-19","4.572257e-17"
"uc.167-"," 88883808"," 88884007","n","ENSG00000248309","5","+"," 88883328"," 89466398","-3.3707751"," 9.490327","-11.381197","4.890115e-19","4.572257e-17"
"uc.258-"," 37324428"," 37324627","p","ENSG00000147905","9","+"," 37120539"," 37358149","-2.9432730"," 8.942114","-10.520770","2.687045e-17","1.674924e-15"
"uc.78+","144430788","144431034","n","ENSG00000169554","2","-","144364364","144524583","-2.6983904"," 8.705577"," -9.625240","1.836009e-15","8.417887e-14"
"uc.264-"," 83975578"," 83975843","e","ENSG00000235298","9","+"," 83972233"," 83975777","-1.5939158","14.568465"," -9.552888","2.363238e-15","8.417887e-14"
"uc.443-","  8462386","  8462623","e","ENSG00000099783","19","+","  8444767","  8489114","-3.0731818"," 9.314256"," -9.547613","2.700926e-15","8.417887e-14"
"uc.263-"," 83975370"," 83975575","e","ENSG00000235298","9","+"," 83972233"," 83975777","-1.4274659","17.874995"," -8.422585","5.007141e-13","1.273031e-11"
"uc.3-"," 10691109"," 10691332","p","ENSG00000130940","1","-"," 10636604"," 10796650","-3.1594842","10.139542"," -8.430915","5.446121e-13","1.273031e-11"
"uc.420+"," 64500654"," 64500885","e","ENSG00000108654","17","-"," 64499616"," 64508199","-2.3769366"," 9.244750"," -7.614648","2.468570e-11","5.129141e-10"
"uc.138+","185931509","185931926","e","ENSG00000136527","3","-","185915906","185938136","-2.3238148","10.722057"," -7.428418","5.876051e-11","1.098821e-09"
"uc.455+"," 35740458"," 35740701","e","ENSG00000131051","20","-"," 35701347"," 35742312","-1.8014118"," 8.457986"," -7.374631","7.282957e-11","1.238103e-09"
"uc.186+","179619197","179619500","e","ENSG00000169045","5","-","179614178","179634784","-2.5664540","10.851929"," -7.228916","1.503325e-10","2.162475e-09"
"uc.428-"," 32773247"," 32773484","p","ENSG00000228835","18","+"," 32769795"," 32774413","-1.9486399"," 8.541773"," -7.013528","3.928153e-10","5.246889e-09"
"uc.50+"," 38749160"," 38749380","e","ENSG00000115875","2","-"," 38743599"," 38751494","-1.8698553"," 8.732022"," -6.958941","5.020986e-10","6.259496e-09"
"uc.12-"," 35184627"," 35184826","p","ENSG00000116560","1","-"," 35176378"," 35193148","-1.0203768","16.053410"," -6.837120","7.880584e-10","9.210433e-09"
