"","UC_START","UC_END","TYPE","ENSEMBL_GENE_ID","CHR","GENE_STRAND","GENE_START","GENE_END","logFC","AveExpr","t","P.Value","adj.P.Val"
"uc.167-"," 88883808"," 88884007","n","ENSG00000248309","5","+"," 88883328"," 89466398","-3.5534305"," 9.490327","-12.984701","3.253141e-22","6.083374e-20"
"uc.458+"," 35752446"," 35752648","e","ENSG00000100320","22","-"," 35738736"," 36028425","-3.6362754"," 9.370562","-12.669566","1.347220e-21","1.259650e-19"
"uc.258-"," 37324428"," 37324627","p","ENSG00000147905","9","+"," 37120539"," 37358149","-2.8416016"," 8.942114","-10.759978","8.683975e-18","5.413011e-16"
"uc.264-"," 83975578"," 83975843","e","ENSG00000235298","9","+"," 83972233"," 83975777","-1.5594794","14.568465"," -9.814861","6.772538e-16","2.463834e-14"
"uc.263-"," 83975370"," 83975575","e","ENSG00000235298","9","+"," 83972233"," 83975777","-1.4254299","17.874995"," -8.878587","5.721375e-14","1.528424e-12"
"uc.186+","179619197","179619500","e","ENSG00000169045","5","-","179614178","179634784","-3.0979910","10.851929"," -8.851265","7.394293e-14","1.545152e-12"
"uc.78+","144430788","144431034","n","ENSG00000169554","2","-","144364364","144524583","-2.3522353"," 8.705577"," -8.842390","7.436563e-14","1.545152e-12"
"uc.138+","185931509","185931926","e","ENSG00000136527","3","-","185915906","185938136","-2.5956030","10.722057"," -8.573081","2.709764e-13","5.067259e-12"
"uc.418+"," 58004868"," 58005083","e","ENSG00000266086","17","-"," 57989038"," 58005253","-2.8240606","10.687734"," -7.893706","6.801311e-12","1.154571e-10"
"uc.3-"," 10691109"," 10691332","p","ENSG00000130940","1","-"," 10636604"," 10796650","-2.7710828","10.139542"," -7.845176","8.526753e-12","1.226541e-10"
"uc.2-"," 10672487"," 10672692","n","ENSG00000130940","1","-"," 10636604"," 10796650","-2.0523273"," 8.814372"," -7.776831","1.130295e-11","1.409101e-10"
"uc.420+"," 64500654"," 64500885","e","ENSG00000108654","17","-"," 64499616"," 64508199","-2.2462399"," 9.244750"," -7.634313","2.234653e-11","2.611751e-10"
"uc.88-","161238532","161238842","n","ENSG00000235724","2","-","161222785","161308303","-2.2462640"," 8.944346"," -7.558006","3.194126e-11","3.513539e-10"
"uc.443-","  8462386","  8462623","e","ENSG00000099783","19","+","  8444767","  8489114","-2.3508002"," 9.314256"," -7.461193","5.050566e-11","5.246977e-10"
"uc.12-"," 35184627"," 35184826","p","ENSG00000116560","1","-"," 35176378"," 35193148","-1.0244746","16.053410"," -7.195936","1.502241e-10","1.478522e-09"
"uc.50+"," 38749160"," 38749380","e","ENSG00000115875","2","-"," 38743599"," 38751494","-1.7910997"," 8.732022"," -7.085887","2.778934e-10","2.598304e-09"
"uc.455+"," 35740458"," 35740701","e","ENSG00000131051","20","-"," 35701347"," 35742312","-1.6104268"," 8.457986"," -6.978364","4.488297e-10","3.996721e-09"
"uc.428-"," 32773247"," 32773484","p","ENSG00000228835","18","+"," 32769795"," 32774413","-1.7885983"," 8.541773"," -6.814818","9.664151e-10","8.214528e-09"
"uc.268+","122844550","122844799","p","ENSG00000056586","9","-","122844556","122905341","-1.6417865"," 8.550039"," -6.331051","8.539963e-09","6.387892e-08"
"uc.167+"," 88883808"," 88884007","n","ENSG00000248309","5","+"," 88883328"," 89466398","-1.9237197","12.554909"," -6.200236","1.563851e-08","1.124770e-07"
"uc.419+"," 58005355"," 58005642","e","ENSG00000136450","17","-"," 58003360"," 58007346","-1.7101796"," 9.203811"," -5.842175","7.446950e-08","5.157703e-07"
"uc.88+","161238532","161238842","n","ENSG00000235724","2","-","161222785","161308303","-1.7357251"," 8.889995"," -5.698197","1.391946e-07","8.975652e-07"
"uc.209+"," 23522270"," 23522518","e","ENSG00000164548","7","-"," 23504780"," 23532041","-1.4017190"," 8.560548"," -5.267310","8.428260e-07","4.925265e-06"
"uc.258+"," 37324428"," 37324627","p","ENSG00000147905","9","+"," 37120539"," 37358149","-1.0737636","13.088300"," -5.221256","9.814644e-07","5.561632e-06"
"uc.144+"," 82425513"," 82425716","e","ENSG00000152795","4","-"," 82422564"," 82430408","-1.3047210"," 8.447305"," -5.145900","1.381696e-06","7.599325e-06"
"uc.413+"," 39410267"," 39410537","e","ENSG00000125686","17","-"," 39404285"," 39451286","-1.3107339"," 8.516216"," -5.111987","1.590110e-06","8.495733e-06"
"uc.61+"," 60460439"," 60460763","e","ENSG00000119866","2","-"," 60451167"," 60553567","-1.3663493"," 8.640312"," -5.013153","2.397283e-06","1.211600e-05"
"uc.212-"," 27102320"," 27102523","p","ENSG00000105996","7","-"," 27100354"," 27102811","-1.4900270"," 8.732572"," -4.841405","4.850772e-06","2.325883e-05"
"uc.251+"," 15874312"," 15874523","n","ENSG00000164989","9","+"," 15553086"," 16061663","-1.6636324"," 9.671320"," -4.813783","5.482582e-06","2.563107e-05"
"uc.111+","  9429778","  9430072","p","ENSG00000168137","3","+","  9397615","  9479240","-0.7598747","15.402170"," -4.687289","8.101336e-06","3.695000e-05"
"uc.435+"," 55422701"," 55422926","n","ENSG00000196628","18","-"," 55222331"," 55664787","-1.2386106"," 8.698542"," -4.673362","9.247482e-06","4.117331e-05"
"uc.407-"," 69647253"," 69647577","e","ENSG00000102908","16","+"," 69565094"," 69704666","-1.2447885"," 8.532323"," -4.475805","1.997673e-05","8.687557e-05"
"uc.175-","158914831","158915079","n","ENSG00000164330","5","-","158695916","159099761","-1.2276564","13.014852"," -4.355807","3.154967e-05","1.338543e-04"
"uc.174-","139307966","139308224","e","ENSG00000015479","5","+","139293648","139331677","-1.4194237"," 9.126684"," -4.354586","3.221092e-05","1.338543e-04"
"uc.49+"," 33588343"," 33588548","e","ENSG00000119812","2","-"," 33583658"," 33599382","-1.1578155"," 8.659465"," -4.209378","5.432721e-05","2.161530e-04"
"uc.36+","108697807","108698069","p","ENSG00000134186","1","+","108692323","108701803","-0.7237121","14.617244"," -4.133432","6.731115e-05","2.568813e-04"
"uc.100-","173250053","173250258","n","ENSG00000238133","2","-","173166446","173282036","-1.1941000"," 8.627843"," -4.115141","7.726039e-05","2.889539e-04"
"uc.428+"," 32773247"," 32773484","p","ENSG00000228835","18","+"," 32769795"," 32774413","-1.5099822","10.791148"," -4.099909","8.365906e-05","3.067499e-04"
"uc.97+","171966111","171966551","e","ENSG00000115840","2","-","171784370","171999859","-0.8663232","15.152988"," -4.061609","9.022418e-05","3.244600e-04"
"uc.393-"," 74621902"," 74622175","e","ENSG00000179335","15","+"," 74598500"," 74645414","-1.2880011"," 9.424408"," -3.802067","2.395616e-04","8.145096e-04"
"uc.268-","122844550","122844799","p","ENSG00000056586","9","-","122844556","122905341","-0.8961405","14.301214"," -3.729644","2.964205e-04","9.724672e-04"
"uc.473-"," 71153375"," 71153595","e","ENSG00000196338","X","+"," 71144831"," 71171201","-1.0902357"," 9.827046"," -3.607338","4.614632e-04","1.487821e-03"
