"","UC_START","UC_END","TYPE","ENSEMBL_GENE_ID","CHR","GENE_STRAND","GENE_START","GENE_END","logFC","AveExpr","t","P.Value","adj.P.Val"
"uc.79-","144439611","144439904","p","ENSG00000169554","2","-","144364364","144524583","2.5718163","11.983331","9.650861","1.888644e-15","8.451682e-14"
"uc.80-","144443286","144443578","n","ENSG00000169554","2","-","144364364","144524583","2.9145875","11.618443","9.305885","9.759315e-15","2.911529e-13"
"uc.231-","115942064","115942286","n","ENSG00000105967","7","-","115935148","116159896","2.2012352","10.332822","7.260301","1.372215e-10","1.386033e-09"
"uc.287+"," 75736186"," 75736441","p","ENSG00000148655","10","+"," 75431453"," 76560167","2.1776709"," 9.938926","6.929678","6.248943e-10","5.600936e-09"
"uc.103-","174104945","174105176","p","ENSG00000138430","2","-","174072447","174248698","1.4971999","11.583197","6.393568","6.690838e-09","5.207218e-08"
"uc.22-"," 50540560"," 50540866","n","ENSG00000185104","1","-"," 50437028"," 50960263","1.4345938","11.534870","6.161117","1.868408e-08","1.337780e-07"
"uc.133+","158308690","158308965","n","ENSG00000174891","3","+","158105855","158545730","1.4122055","11.143609","5.839029","7.638458e-08","5.064014e-07"
"uc.69+","143354542","143354841","n","ENSG00000228655","2","-","143295421","143480789","1.4685503","12.892021","5.487976","3.456123e-07","2.209450e-06"
"uc.35-"," 97536727"," 97536930","p","ENSG00000188641","1","-"," 97077743"," 97921049","1.7716554","10.138935","5.463753","3.918688e-07","2.418776e-06"
"uc.76-","144403567","144403900","n","ENSG00000169554","2","-","144364364","144524583","1.6684553","11.696632","5.332797","6.741159e-07","3.770836e-06"
"uc.43-","243732734","243732989","n","ENSG00000232184","1","-","243702857","243740821","1.8427617","10.723983","5.039875","2.278016e-06","1.102067e-05"
"uc.161-"," 78062706"," 78062982","p","ENSG00000132842","5","-"," 78000525"," 78294755","1.0645861","12.064939","4.647643","1.021060e-05","4.457799e-05"
"uc.440+"," 74651410"," 74651737","n","ENSG00000215421","18","+"," 74597870"," 75065671","0.7997467","12.691451","4.184814","5.729256e-05","2.229428e-04"
"uc.106-","174160696","174160900","p","ENSG00000138430","2","-","174072447","174248698","0.9304277","11.398264","4.100146","8.010330e-05","2.987186e-04"
"uc.464+"," 24898042"," 24898810","n","ENSG00000101868","X","+"," 24693919"," 24996986","0.9389467","11.612036","3.851996","1.960100e-04","7.160364e-04"
"uc.78-","144430788","144431034","n","ENSG00000169554","2","-","144364364","144524583","0.8640111","12.267459","3.637166","4.093115e-04","1.465335e-03"
"uc.439+"," 74651076"," 74651337","n","ENSG00000215421","18","+"," 74597870"," 75065671","0.7722937","12.295106","3.592813","4.691250e-04","1.646537e-03"
"uc.139-","  4521714","  4522050","p","ENSG00000168818","4","-","  4415742","  4542346","0.7807089","11.831795","3.563781","5.183731e-04","1.784400e-03"
