"","Row.names","UC_START","UC_END","TYPE","ENSEMBL_GENE_ID","CHR","GENE_STRAND","GENE_START","GENE_END","logFC","AveExpr","t","P.Value","adj.P.Val","Mean_P","Mean_N"
"1","uc.103-","174104945","174105176","p","ENSG00000138430","2","-","174072447","174248698","1.4136123","11.581286","6.679019","1.785943e-09","1.151626e-08",10.8744684979234,12.2880808110797
"2","uc.106-","174160696","174160900","p","ENSG00000138430","2","-","174072447","174248698","0.9408663","11.396353","4.586651","1.261840e-05","4.815592e-05",10.8772449097461,11.8181111625008
"3","uc.131+","158272252","158272457","n","ENSG00000174891","3","+","158105855","158545730","0.6365221","11.546943","3.476120","6.735353e-04","1.657251e-03",11.2196962109924,11.8562183138063
"4","uc.132+","158308371","158308577","n","ENSG00000174891","3","+","158105855","158545730","0.5806315","10.641111","2.588880","1.004768e-02","1.897895e-02",10.3398225641924,10.9204540779246
"5","uc.133+","158308690","158308965","n","ENSG00000174891","3","+","158105855","158545730","1.2365218","11.141698","5.730384","1.177130e-07","6.114535e-07",10.4811429476543,11.717664722633
"6","uc.134+","158528116","158528325","p","ENSG00000174891","3","+","158105855","158545730","0.7514227","11.008568","3.502378","6.318714e-04","1.575466e-03",10.6261028752532,11.3775255987884
"7","uc.139-","  4521714","  4522050","p","ENSG00000168818","4","-","  4415742","  4542346","0.8871686","11.829884","4.651133","9.706705e-06","3.862030e-05",11.376013525073,12.2631821047512
"8","uc.161-"," 78062706"," 78062982","p","ENSG00000132842","5","-"," 78000525"," 78294755","0.9407946","12.063028","4.695326","8.233277e-06","3.421384e-05",11.5080391916745,12.448833780162
"9","uc.22-"," 50540560"," 50540866","n","ENSG00000185104","1","-"," 50437028"," 50960263","1.4455551","11.532959","7.087183","2.767865e-10","2.109047e-09",10.7439946457386,12.1895496979433
"10","uc.231-","115942064","115942286","n","ENSG00000105967","7","-","115935148","116159896","2.2348200","10.330911","8.671249","1.775956e-13","2.372170e-12",9.11879134185816,11.3536113029936
"11","uc.24-"," 50633474"," 50633808","n","ENSG00000185104","1","-"," 50437028"," 50960263","0.3948561","12.759356","2.604956","9.124845e-03","1.741169e-02",12.6540036355514,13.0488597272954
"12","uc.257+"," 37215208"," 37215470","n","ENSG00000147905","9","+"," 37120539"," 37358149","0.8538176","14.100872","4.598906","1.183818e-05","4.611959e-05",13.7710060127405,14.6248236033379
"13","uc.269-","123775659","123775874","n","ENSG00000119522","9","-","123379654","123930152","0.9048474","10.876959","3.589544","4.823013e-04","1.218788e-03",10.4046760097901,11.3095233977994
"14","uc.271-","125542074","125542283","p","ENSG00000119487","9","-","125437393","125707234","0.4000010","12.106842","2.364850","1.754110e-02","3.009344e-02",11.8689079019069,12.2689088912176
"15","uc.272-","125670310","125670521","n","ENSG00000119487","9","-","125437393","125707234","0.7891212"," 9.942734","3.301135","1.231670e-03","2.952850e-03",9.52938794752175,10.3185091624316
"16","uc.273+","125755320","125755639","p","ENSG00000167081","9","+","125747345","125967377","0.6853958","12.660857","3.195660","1.694859e-03","3.912822e-03",12.4032770406772,13.0886728705475
"17","uc.274+","125759593","125759918","p","ENSG00000167081","9","+","125747345","125967377","0.6586643","12.542200","3.073586","2.469365e-03","5.497277e-03",12.3437106631197,13.0023749643694
"18","uc.276+","125843534","125843964","p","ENSG00000167081","9","+","125747345","125967377","0.8637837","12.559337","4.472325","1.939666e-05","6.975338e-05",12.2145232747111,13.0783069536026
"19","uc.277+","125845432","125845706","p","ENSG00000167081","9","+","125747345","125967377","0.6858351","12.115087","3.360879","9.964714e-04","2.420002e-03",11.8213265658381,12.5071616783102
"20","uc.278+","125883887","125884122","p","ENSG00000167081","9","+","125747345","125967377","0.7232658","11.563059","3.647661","3.839428e-04","9.835246e-04",11.2583630376072,11.9816288455167
"21","uc.279+","125910281","125910615","n","ENSG00000167081","9","+","125747345","125967377","0.6047890","10.711838","2.235569","2.557343e-02","4.194940e-02",10.3891227228835,10.993911699552
"22","uc.281-","132620139","132620375","p","ENSG00000125485","9","-","132592997","132670401","0.5941419","11.864675","2.712243","7.127329e-03","1.402958e-02",11.6013334843915,12.1954753609612
"23","uc.287+"," 75736186"," 75736441","p","ENSG00000148655","10","+"," 75431453"," 76560167","1.8239645"," 9.937015","6.219875","1.459636e-08","8.529748e-08",8.85528787157453,10.6792523859822
"24","uc.307+","101484227","101484457","p","ENSG00000166167","10","+","101354033","101557321","0.5172026","12.296926","2.960133","3.378405e-03","7.261629e-03",12.0677389584385,12.5849415286599
"25","uc.310+","112644465","112644692","n","ENSG00000151532","10","+","112446998","112818744","0.5410582","10.952596","2.475038","1.359237e-02","2.397899e-02",10.6570103676704,11.1980685886074
"26","uc.326+"," 31764133"," 31764446","p","ENSG00000109911","11","+"," 31509700"," 31790328","0.5877787","11.429595","2.638765","8.758876e-03","1.688567e-02",11.1354511270625,11.723229874786
"27","uc.327+"," 31764737"," 31765003","n","ENSG00000109911","11","+"," 31509700"," 31790328","0.5075169","11.150915","2.433106","1.509360e-02","2.637853e-02",10.9219850606808,11.4295019325816
"28","uc.35-"," 97536727"," 97536930","p","ENSG00000188641","1","-"," 97077743"," 97921049","1.5760333","10.137024","5.604134","2.097721e-07","1.060199e-06",9.25206610786416,10.8280994056595
"29","uc.372-"," 35573830"," 35574105","n","ENSG00000174373","14","-"," 35538352"," 35809304","0.5798488","10.532133","2.368040","1.816706e-02","3.060576e-02",10.2471278085809,10.8269766211427
