"","UC_START","UC_END","TYPE","ENSEMBL_GENE_ID","CHR","GENE_STRAND","GENE_START","GENE_END","logFC","AveExpr","t","P.Value","adj.P.Val"
"uc.231-","115942064","115942286","n","ENSG00000105967","7","-","115935148","116159896","2.2459938","10.332822","7.003572","4.475130e-10","6.675403e-09"
"uc.79-","144439611","144439904","p","ENSG00000169554","2","-","144364364","144524583","1.8495309","11.983331","6.476541","4.757710e-09","5.009589e-08"
"uc.103-","174104945","174105176","p","ENSG00000138430","2","-","174072447","174248698","1.4994976","11.583197","6.105994","2.399053e-08","2.342409e-07"
"uc.22-"," 50540560"," 50540866","n","ENSG00000185104","1","-"," 50437028"," 50960263","1.4863664","11.534870","6.097580","2.486356e-08","2.342409e-07"
"uc.257+"," 37215208"," 37215470","n","ENSG00000147905","9","+"," 37120539"," 37358149","1.2461392","14.102783","5.826532","7.907339e-08","7.077068e-07"
"uc.80-","144443286","144443578","n","ENSG00000169554","2","-","144364364","144524583","1.8642221","11.618443","5.533068","2.940246e-07","2.288278e-06"
"uc.106-","174160696","174160900","p","ENSG00000138430","2","-","174072447","174248698","1.1505431","11.398264","4.862107","4.411304e-06","2.632078e-05"
"uc.408-"," 72787147"," 72787397","e","ENSG00000259768","16","+"," 72665170"," 72791624","1.3537554","10.693149","4.601641","1.260865e-05","7.052965e-05"
"uc.426+"," 26335629"," 26335889","p","ENSG00000141384","18","+"," 26225936"," 26391685","1.4600577","11.605771","4.514568","1.781255e-05","9.661956e-05"
"uc.139-","  4521714","  4522050","p","ENSG00000168818","4","-","  4415742","  4542346","0.9898667","11.831795","4.323818","3.514784e-05","1.797561e-04"
"uc.133+","158308690","158308965","n","ENSG00000174891","3","+","158105855","158545730","1.1075083","11.143609","4.308813","3.775564e-05","1.877294e-04"
"uc.276+","125843534","125843964","p","ENSG00000167081","9","+","125747345","125967377","0.9906768","12.561248","4.293173","3.945426e-05","1.908733e-04"
"uc.461+"," 24846681"," 24847076","n","ENSG00000101868","X","+"," 24693919"," 24996986","0.8952756","12.506243","3.990921","1.185664e-04","5.441893e-04"
"uc.464+"," 24898042"," 24898810","n","ENSG00000101868","X","+"," 24693919"," 24996986","1.0163834","11.612036","3.978594","1.260253e-04","5.639632e-04"
"uc.440+"," 74651410"," 74651737","n","ENSG00000215421","18","+"," 74597870"," 75065671","0.7905643","12.691451","3.900575","1.610953e-04","7.033185e-04"
"uc.460+"," 24805395"," 24805668","p","ENSG00000101868","X","+"," 24693919"," 24996986","0.9547571","11.858761","3.840824","2.043238e-04","8.312265e-04"
"uc.35-"," 97536727"," 97536930","p","ENSG00000188641","1","-"," 97077743"," 97921049","1.3768493","10.138935","3.819692","2.287595e-04","9.099543e-04"
"uc.89+","161382163","161382468","p","ENSG00000115233","2","+","161308038","161411717","0.7710177","12.535395","3.713840","3.096033e-04","1.204761e-03"
"uc.69+","143354542","143354841","n","ENSG00000228655","2","-","143295421","143480789","1.0557715","12.892021","3.654878","3.943171e-04","1.470474e-03"
"uc.439+"," 74651076"," 74651337","n","ENSG00000215421","18","+"," 74597870"," 75065671","0.8156249","12.295106","3.594858","4.692821e-04","1.714316e-03"
"uc.161-"," 78062706"," 78062982","p","ENSG00000132842","5","-"," 78000525"," 78294755","0.8391276","12.064939","3.452899","7.580223e-04","2.660510e-03"
"uc.131+","158272252","158272457","n","ENSG00000174891","3","+","158105855","158545730","0.7504569","11.548854","3.408927","8.641839e-04","2.867029e-03"
"uc.287+"," 75736186"," 75736441","p","ENSG00000148655","10","+"," 75431453"," 76560167","1.2664421"," 9.938926","3.397988","9.457751e-04","3.078068e-03"
"uc.272-","125670310","125670521","n","ENSG00000119487","9","-","125437393","125707234","0.9786541"," 9.944646","3.299727","1.269942e-03","3.988063e-03"
"uc.269-","123775659","123775874","n","ENSG00000119522","9","-","123379654","123930152","0.9889072","10.878870","3.248782","1.495735e-03","4.616146e-03"
"uc.278+","125883887","125884122","p","ENSG00000167081","9","+","125747345","125967377","0.7684132","11.564970","3.183874","1.788228e-03","5.334881e-03"
"uc.462+"," 24876710"," 24877487","p","ENSG00000101868","X","+"," 24693919"," 24996986","0.9093366","10.988878","2.998419","3.223122e-03","9.305466e-03"
"uc.134+","158528116","158528325","p","ENSG00000174891","3","+","158105855","158545730","0.7469172","11.010479","2.912903","4.084103e-03","1.124699e-02"
"uc.172-"," 94315015"," 94315231","n","ENSG00000185261","5","-"," 94152966"," 94618597","0.7985204"," 9.512343","2.773978","6.169141e-03","1.623936e-02"
"uc.105-","174125060","174125281","n","ENSG00000138430","2","-","174072447","174248698","0.5704648","11.713869","2.616045","9.311765e-03","2.347614e-02"
"uc.385-"," 36893470"," 36893677","p","ENSG00000134138","15","-"," 36889204"," 37101299","0.8383062"," 9.250916","2.614760","9.699636e-03","2.411437e-02"
"uc.429+"," 36900579"," 36900815","n","ENSG00000150477","18","+"," 36829106"," 37232172","0.7535513","10.735598","2.578451","1.062247e-02","2.604687e-02"
"uc.195-"," 97215481"," 97215752","p","ENSG00000146263","6","-"," 97142161"," 97283217","0.7504058","11.306462","2.481462","1.380264e-02","3.260522e-02"
"uc.273+","125755320","125755639","p","ENSG00000167081","9","+","125747345","125967377","0.6615380","12.662768","2.476228","1.384356e-02","3.260522e-02"
"uc.483-"," 17551238"," 17551638","p","ENSG00000131374","3","-"," 17157162"," 18444817","0.5772319","12.678862","2.370620","1.805361e-02","4.143072e-02"
"uc.76-","144403567","144403900","n","ENSG00000169554","2","-","144364364","144524583","0.7942154","11.696632","2.358117","1.915922e-02","4.341140e-02"
